"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1634","Navigation from login page to registration page","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2433","Registration with correct email, username and password","LMS system","2026-07-23","passed","2026-07-23","Registration","Authentication","",""
"","1828","Check displaying of empty courses list","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","3283","User login with correct email and password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","3993","Edit course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","2036","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2706","Create course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1984","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2197","Check displaying of dashboard page","LMS system","2026-07-23","passed","2026-07-23","Dashboard","Dashboard","",""
"","1514","User login with wrong email or password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
